id,severity,finding_summary,public_disposition
W3-01,high,"Architecture docs describe a superseded local-model boundary.","Use the current claims-matrix architecture only; keep classifier fallback separate from reranking."
W3-02,high,"A displayed current-evaluation bullet contains deterministic stub metrics.","Label those values as stub; use the separately sourced funded-live table for live results."
W3-03,high,"Aggregate-pass wording omits the strict all-trials residual.","Pair live aggregate gates with 30/44 strict flagged scenarios and stub gates with 15/44."
W3-04,high,"Funded Phase-L raw reports are archive-only rather than tracked source files.","Cite the verified handoff archive hash; do not imply the raw report is in the source repository."
W3-05,high,"Cost material combines measured, estimated, projected, and modeled evidence.","Preserve the evidence class and 2026-07-08 pre-migration date on every row."
W3-06,high,"Workstation-selected live models differ from tracked defaults.","Do not claim repository-default alignment."
W3-07,medium,"A component description presents an older database lifecycle as current.","Describe the database generically; do not claim a local W5 reproduction."
W3-08,medium,"A model-call estimate conflicts with the dated measured trace.","Separate model-capable stages from observed calls; keep any comparator modeled."
W3-09,medium,"An environment-variable name is stale.","Do not expose setup variables in this asset-only package."
W3-10,medium,"Threshold headroom and runtime text omit deterministic-stub and workstation context.","Keep mode and environment boundaries adjacent to those values."
W3-11,medium,"Test chronology can be misread as a post-migration full-suite run.","State 99 full-suite tests before Phase L plus 19 focused Phase-L tests only."
W3-12,medium,"Interview material treats stub proxy accounting and modeled comparisons too strongly.","Exclude proxy spend and unsupported multipliers; retain modeled labels."
W3-13,low,"Chronological migration notes contain resolved intermediate states.","Keep them private and do not present them as current blockers."
